Time(h.m.s),Dust(mg/m3),CO(ppm),CO2,temp(C)
13.12.55,0.3602,7.2165,345.7128,24.1699
13.12.55,0.35965,7.2165,345.7128,24.1699
13.12.55,0.3602,7.2165,345.7128,23.8477
13.12.56,0.3602,7.2165,345.7128,23.8477
13.12.56,0.35965,7.2165,345.7128,23.8477
13.12.56,0.3602,7.2165,345.7128,23.8477
13.12.57,0.3602,7.2165,345.7128,23.8477
13.12.57,0.3602,7.2165,345.7128,23.8477
13.12.57,0.3602,7.2165,345.7128,23.8477
13.12.58,0.35965,7.2165,345.7128,23.8477
13.12.58,0.3602,7.2165,345.7128,24.1699
13.12.58,0.3602,7.2165,345.7128,24.1699
13.12.59,0.3602,7.2165,345.7128,23.8477
13.12.59,0.3602,7.2165,345.7128,24.1699
13.12.59,0.3602,7.2165,345.7128,24.1699
13.12.59,0.3602,7.2165,345.7128,23.8477
13.13.0,0.3602,7.2165,345.7128,23.8477
13.13.0,0.3602,7.2165,345.7128,24.1699
13.13.0,0.3602,7.2165,345.7128,24.1699
13.13.1,0.3602,7.2165,345.7128,24.1699
13.13.1,0.3602,7.2165,345.7128,24.1699
13.13.1,0.3602,7.2165,345.7128,23.8477
13.13.2,0.3602,7.2165,345.7128,23.8477
13.13.2,0.3602,7.2165,345.7128,24.1699
13.13.2,0.3602,7.2165,345.7128,23.8477
13.13.3,0.35965,7.2165,345.7128,24.1699
13.13.3,0.3602,7.2165,345.7128,24.1699
,0.35913335,7.24592,345.1077615,24.1618535
